2025-11-07 17:43:11, 127.0.0.1, 1.0.0.127.in-addr.arpa, Allowed, 0.0.0.0
2025-11-07 17:43:11, 127.0.0.1, ads.google.com, Blocked, 0.0.0.0
2025-11-07 17:43:11, 127.0.0.1, ads.google.com, Blocked, 0.0.0.0
2025-11-07 17:43:11, 127.0.0.1, ads.google.com, Blocked, 0.0.0.0
2025-11-07 17:43:11, 127.0.0.1, ads.google.com, Blocked, 0.0.0.0
2025-11-07 17:43:18, 127.0.0.1, 1.0.0.127.in-addr.arpa, Allowed, 0.0.0.0
2025-11-07 17:43:18, 127.0.0.1, dns.google, Allowed, 8.8.8.8
2025-11-07 17:43:18, 127.0.0.1, dns.google, Allowed, 0.0.0.0
2025-11-07 17:43:26, 127.0.0.1, 1.0.0.127.in-addr.arpa, Allowed, 0.0.0.0
2025-11-07 17:43:26, 127.0.0.1, example.com, Blocked, 0.0.0.0
2025-11-07 17:43:26, 127.0.0.1, example.com, Blocked, 0.0.0.0
2025-11-07 17:43:26, 127.0.0.1, example.com, Blocked, 0.0.0.0
2025-11-07 17:43:26, 127.0.0.1, example.com, Blocked, 0.0.0.0
